title,company_name,location,reward,link
"백엔드 개발자(Python, Django) (2년차 이상)",와이피랩스(커넥팅),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/169285
"개발자 (JAVA,Python,AI,IoT)",펀진,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/161900
B2C 백엔드 엔지니어(Python) - 크레딧플래닛,피플펀드컴퍼니(PeopleFundCompany),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/165354
[1500억↑투자] Senior Backend Engineer - Python,트릿지,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/96146
개발자 (Python),애드크림,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/202338
Python 백엔드 개발자 (3년이상),엠몬스타,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/196490
Python 트레이딩 플랫폼 엔지니어 for VegaX,콘스텔레이션코리아,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/193356
백엔드 엔지니어 (Python/Django),뮤즈라이브(Muzlive),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/18295
"백엔드 개발자(Python, Django) (2년차 이상)",와이피랩스(커넥팅),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/169285
"개발자 (JAVA,Python,AI,IoT)",펀진,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/161900
B2C 백엔드 엔지니어(Python) - 크레딧플래닛,피플펀드컴퍼니(PeopleFundCompany),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/165354
[1500억↑투자] Senior Backend Engineer - Python,트릿지,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/96146
개발자 (Python),애드크림,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/202338
Python 백엔드 개발자 (3년이상),엠몬스타,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/196490
Python 트레이딩 플랫폼 엔지니어 for VegaX,콘스텔레이션코리아,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/193356
백엔드 엔지니어 (Python/Django),뮤즈라이브(Muzlive),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/18295
백엔드 엔지니어 (Python),엘리스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/57878
웹/앱 백엔드개발자(Python),에임비랩,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/204586
"[개발] SW엔지니어(API, Python)",아이알큐더스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/189617
Python Developer (Product),비바리퍼블리카(토스),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/172779
[200억↑투자] 서비스 API (Python/Django) 개발,놀이의발견,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/181923
글로벌팀 백엔드 엔지니어 (Python),엘리스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/182859
백엔드 개발자 (Python/5년 이상),딥세일즈,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/204840
python 개발자 (3년 이상),자이온아이티에스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/187131
Python application & Algorithm 개발자,메디픽셀,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/190006
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자 (신입)",메디인테크,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/147487
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자",메디인테크,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/100407
풀스택 웹 개발자 (Python/Django),웜블러드,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/142233
Python 서버개발자,크로스이엔에프,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/153489
[200억↑투자] 백엔드 개발자(Python),바로팜,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/66521
백엔드 Python Django 개발자 / 핀테크,얼리페이,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/165649
"C#, C++, Python, IoT MCU(아두이노,RPi) 개발자",아이티로그,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/187186
Frontend 및 Backend(python) 개발자,마인즈앤컴퍼니,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/156436
"백엔드 개발자(C#, Java, Python, Hack)",애딥랩,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/178948
Python Developer,사이버메드,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/148605
파이썬 개발자(Python developer),애크미랩,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/136526
[인텔리전스랩스] MLOps팀 백엔드 개발자 (Python/Go),넥슨코리아(NEXON),경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/151721
백엔드 엔지니어 (Python),아이네블루메(채티),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/60926
"웹개발자(Python, Django) 3년이상",리걸테크,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/148349
"[200억↑투자] 백엔드 개발자 (Spring, Python, MSA)",페이타랩(패스오더),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/196993
"백엔드(Python,Kotlin) 개발자 (1년 이상)",피플펀드컴퍼니(PeopleFundCompany),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/40457
백엔드 엔지니어 (Python),버핏서울,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/197592
백엔드 엔지니어 (Python),피클플러스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/172732
"[200억↑투자] 백엔드 개발자 (Spring, Python, MSA)",페이타랩(패스오더),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/45650
[플레이오][신입] Python 백엔드 개발,지엔에이컴퍼니,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/193602
[신입] 백엔드 엔지니어 (Python),엘리스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/162405
"Back-End (Python, Java)",미니레코드,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/204028
오픈업 데이터 엔지니어 (Python),핀다(FINDA),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/180080
Back-end Developer_Python_AI Service (2년 이상),쏘마,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/198178
[100억↑투자] SW Developer(Python or Javascript),수퍼톤,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/166771
